"","Estacao","Data","value"
"631","RD035",2014 out,4.42
"632","RD035",2014 nov,54
"633","RD035",2014 dez,84.7
"634","RD035",2015 jan,8.11
"635","RD035",2015 fev,24.8
"636","RD035",2015 mar,48.8
"637","RD035",2015 abr,19.4
"638","RD035",2015 mai,6.26
"639","RD035",2015 jun,7.73
"640","RD035",2015 jul,7.56
"641","RD035",2015 ago,3.9
"642","RD035",2015 set,16
"643","RD035",2015 out,2.76
"644","RD035",2015 dez,7470
"645","RD035",2016 jan,2682
"646","RD035",2016 mar,438
"647","RD035",2016 abr,205
"648","RD035",2016 mai,442
"649","RD035",2016 jun,152
"650","RD035",2016 jul,184
"651","RD035",2016 ago,196
"652","RD035",2016 set,263
"653","RD035",2016 out,134
"654","RD035",2016 nov,331
"655","RD035",2016 dez,726
"656","RD035",2017 jan,68.3
"657","RD035",2017 fev,270
"658","RD035",2017 jul,52.1
"659","RD035",2017 ago,34.7
"660","RD035",2017 set,135
"661","RD035",2017 out,42.8
"662","RD035",2017 nov,56.2
"663","RD035",2017 dez,3062
"664","RD035",2018 jan,145
"665","RD035",2018 fev,337
"666","RD035",2018 mar,254
"667","RD035",2018 abr,105
"668","RD035",2018 mai,41.8
"669","RD035",2018 jun,20
"670","RD035",2018 jul,66.9
"671","RD035",2018 ago,48.4
"672","RD035",2018 set,14.7
"673","RD035",2018 out,15.6
"674","RD035",2018 nov,57.8
"675","RD035",2018 dez,163
"676","RD035",2019 jan,45.7
"677","RD035",2019 fev,55.7
"678","RD035",2019 mar,104
"679","RD035",2019 abr,37.1
"680","RD035",2019 mai,34.1
"681","RD035",2019 jun,13.1
"682","RD035",2019 jul,9.47
"683","RD035",2019 ago,6.24
"684","RD035",2019 set,13.4
"685","RD035",2019 out,12.3
"686","RD035",2019 nov,55.4
"687","RD035",2019 dez,243
"688","RD035",2020 jan,149
"689","RD035",2020 fev,193
"690","RD035",2020 mar,384
"691","RD035",2020 mai,60.3
"692","RD035",2020 jun,34.5
"693","RD035",2020 jul,22.3
"694","RD035",2020 ago,33.1
"695","RD035",2020 set,14.6
"696","RD035",2020 out,15.7
"697","RD035",2020 nov,90.7
"698","RD035",2020 dez,192
"699","RD035",2021 jan,170
"700","RD035",2021 fev,283
"701","RD035",2021 mar,192
"702","RD035",2021 abr,37.5
"703","RD035",2021 mai,30.2
"704","RD035",2021 jun,71.2
"705","RD035",2021 jul,8.48
"706","RD035",2021 ago,30.9
"707","RD035",2021 set,12.8
"708","RD035",2021 out,48.3
"709","RD035",2021 nov,1836
"710","RD035",2021 dez,260
"711","RD035",2022 jan,201
"712","RD035",2022 fev,814
"713","RD035",2022 mar,97.9
"714","RD035",2022 abr,125
"715","RD035",2022 mai,67.1
"716","RD035",2022 jun,37.6
"717","RD044",2000 fev,168
"718","RD044",2000 mai,55.5
"719","RD044",2000 ago,21
"720","RD044",2000 out,12.1
"721","RD044",2001 fev,29.8
"722","RD044",2001 mai,24.3
"723","RD044",2001 ago,11.7
"724","RD044",2001 out,97.5
"725","RD044",2002 fev,265
"726","RD044",2002 abr,42.2
"727","RD044",2002 ago,14.1
"728","RD044",2002 out,86.4
"729","RD044",2003 fev,72.8
"730","RD044",2003 mai,29.9
"731","RD044",2003 jul,11.1
"732","RD044",2003 out,794
"733","RD044",2004 jan,186
"734","RD044",2004 abr,115
"735","RD044",2004 jul,38.8
"736","RD044",2004 out,24.7
"737","RD044",2005 jan,293
"738","RD044",2005 abr,93.1
