"","Estacao","Data_de_Amostragem","Ano","Turbidez","Data"
"500","RD058",2011-04-18,2011,32.5,2011 abr
"501","RD058",2011-07-18,2011,13.4,2011 jul
"502","RD058",2011-10-17,2011,18.4,2011 out
"503","RD059",2007-01-31,2007,463,2007 jan
"504","RD059",2007-04-18,2007,29.1,2007 abr
"505","RD059",2007-07-18,2007,9.59,2007 jul
"506","RD059",2007-10-10,2007,5.94,2007 out
"507","RD059",2008-01-23,2008,184,2008 jan
"508","RD059",2008-04-09,2008,249,2008 abr
"509","RD059",2008-07-11,2008,9.48,2008 jul
"510","RD059",2008-10-14,2008,7.5,2008 out
"511","RD059",2009-01-27,2009,505,2009 jan
"512","RD059",2009-04-21,2009,96.8,2009 abr
"513","RD059",2009-07-21,2009,13.2,2009 jul
"514","RD059",2009-10-12,2009,22.5,2009 out
"515","RD059",2010-02-01,2010,15.4,2010 fev
"516","RD059",2010-04-26,2010,18,2010 abr
"517","RD059",2010-07-18,2010,18.4,2010 jul
"518","RD059",2010-10-18,2010,7.93,2010 out
"519","RD059",2011-01-30,2011,31.8,2011 jan
"520","RD059",2011-04-17,2011,45.2,2011 abr
"521","RD059",2011-07-17,2011,7.55,2011 jul
"522","RD059",2011-10-16,2011,5.73,2011 out
"523","RD067",2007-01-31,2007,226,2007 jan
"524","RD067",2007-04-18,2007,48.9,2007 abr
"525","RD067",2007-07-18,2007,8.19,2007 jul
"526","RD067",2007-10-10,2007,5.17,2007 out
"527","RD067",2008-01-23,2008,262,2008 jan
"528","RD067",2008-04-09,2008,166,2008 abr
